username,post,timestamp,language,location,profile_created,followers_count,verified
realnews24,"Agent X involved in illegal activities",2025-12-12 08:30:00,en,"New Delhi, India",2023-01-15,1250,false
truth_finder,"This so-called officer is a fraud",2025-12-12 09:15:00,en,"Mumbai, India",2024-03-22,890,false
india_watch,"सरकारी एजेंट पर झूठा आरोप लगाया जा रहा है",2025-12-12 10:00:00,hi,"Delhi NCR, India",2022-11-30,5400,true
agent_x_real,"Fake accounts spreading lies about me",2025-12-12 11:45:00,en,"Chennai, India",2020-05-18,15200,true
news_alerts,"BREAKING: Agent X exposed!!!",2025-12-12 12:30:00,en,"Bangalore, India",2023-07-10,3200,false
tactical_ops,"Agent X's family details leaked online",2025-12-12 13:00:00,en,"Hyderabad, India",2024-10-05,120,false
secure_india,"एजेंट एक्स के खिलाफ झूठा मामला",2025-12-12 13:30:00,hi,"Lucknow, India",2021-08-14,7800,true
intel_network,"Agent X's location compromised",2025-12-12 14:00:00,en,"Kolkata, India",2024-02-28,450,false
defense_update,"Officer's photo being misused on dark web",2025-12-12 14:30:00,en,"Pune, India",2023-09-19,2100,false
cyber_guard,"Agent X के खिलाफ साजिश रची जा रही है",2025-12-12 15:00:00,hi,"Ahmedabad, India",2022-12-25,5600,true
shadow_ops,"Agent X is actually a double agent working against us",2025-12-12 15:30:00,en,"Chandigarh, India",2024-06-11,180,false
protect_force,"एजेंट की पहचान उजागर, जान का खतरा",2025-12-12 16:00:00,hi,"Jaipur, India",2023-04-07,3400,true
secure_agent,"Officer's family receiving threats due to fake news",2025-12-12 17:00:00,en,"Delhi, India",2021-11-30,12500,true
national_eye,"Agent X ko jaan se marne ki dhamki",2025-12-12 17:30:00,hi,"Patna, India",2023-12-15,2900,false
global_watch,"Agent X reportedly linked to foreign intelligence agencies",2025-12-12 18:00:00,en,"London, UK",2024-01-12,640,false
world_ops,"Indian officer Agent X exposed in international leaks",2025-12-12 18:20:00,en,"New York, USA",2023-06-08,920,false
middleeast_monitor,"Agent X role questioned amid regional security concerns",2025-12-12 18:45:00,en,"Dubai, UAE",2022-09-14,4100,true
anon_reporter_77,"Agent X double game finally revealed",2025-12-12 19:00:00,en,"Unknown",2024-11-02,45,false
southasia_watch,"Agent X par international sazish ka hissa hone ka aarop",2025-12-12 19:20:00,hi,"Karachi, Pakistan",2023-08-21,870,false
